decision_point,trump,our_score,their_score,bidding_meld,defending_meld,hand,meld_total,ace_count,trump_length,longest_side_suit,has_run,has_pinochle,has_around,bid,score_diff,partner_has_bid,partner_has_passed,p_make,ev_take,ev_defend,ev_play_on,ev_fold,verdict_bid,verdict_fold
bid,C,450,360,,,10C_1 10H_1 9C_1 9D_1 9D_2 9H_1 9S_1 JH_1 JH_2 KC_2 QC_1 QS_1,50,0,4,4,0,0,0,310,90,0,0,0.3733,-235.6667,-136.3333,,,0,
bid,S,360,450,,,10D_1 10S_1 9S_2 AC_1 AD_2 AH_2 AS_1 AS_2 KD_2 KS_1 QH_1 QS_2,150,5,6,3,0,0,1,310,-90,1,0,1.0,427.6,148.8,,,1,
bid,H,450,360,,,10D_2 10S_2 9C_2 9H_2 AH_1 JS_1 KC_1 KD_1 KH_1 KS_2 QD_1 QH_2,150,1,4,3,0,0,1,310,90,0,1,0.3933,-225.8667,-21.8,,,0,
fold,C,360,450,60,180,10C_2 AC_1 AC_2 AS_1 JC_1 JC_2 JD_1 JD_2 JS_2 QC_2 QD_2 QS_2,40,3,6,3,0,1,0,300,-90,0,0,0.2133,,,-414.3333,-480.0,,0
bid,C,630,60,,,9S_2 AC_1 AC_2 AH_1 JC_2 JH_2 KC_1 KH_2 KS_2 QC_1 QH_1 QH_2,60,3,5,5,0,0,0,300,570,0,0,0.9667,303.0667,-63.0,,,1,
bid,C,60,630,,,10C_2 10D_1 10S_1 9D_1 9D_2 9S_1 AH_2 JC_1 JS_1 KD_1 KH_1 QS_1,0,1,2,4,0,0,0,310,-570,0,0,0.1333,-415.6,-100.7333,,,0,
bid,C,630,60,,,10C_1 10H_1 9C_1 9H_1 9H_2 AS_2 JD_2 JH_1 KC_2 KD_2 QC_2 QD_1,70,1,4,4,0,0,0,310,570,1,0,0.5667,-61.7333,-125.8,,,1,
bid,S,60,630,,,10D_2 10H_2 10S_2 9C_2 AD_1 AD_2 AS_1 JD_1 JS_2 KS_1 QD_2 QS_2,190,3,5,5,1,1,0,310,-570,0,1,1.0,394.0,19.9333,,,1,
bid,C,630,60,,,9S_2 AC_1 AC_2 AH_1 JC_2 JH_2 KC_1 KH_2 KS_2 QC_1 QH_1 QH_2,60,3,5,5,0,0,0,320,570,0,1,0.94,292.2667,-18.7333,,,1,
bid,S,60,630,,,10D_2 10H_2 10S_2 9C_2 AD_1 AD_2 AS_1 JD_1 JS_2 KS_1 QD_2 QS_2,190,3,5,5,1,1,0,330,-570,0,1,1.0,381.6,-15.3333,,,1,
bid,C,630,60,,,9S_2 AC_1 AC_2 AH_1 JC_2 JH_2 KC_1 KH_2 KS_2 QC_1 QH_1 QH_2,60,3,5,5,0,0,0,340,570,0,1,0.84,221.2667,46.1333,,,1,
bid,S,60,630,,,10D_2 10H_2 10S_2 9C_2 AD_1 AD_2 AS_1 JD_1 JS_2 KS_1 QD_2 QS_2,190,3,5,5,1,1,0,350,-570,0,1,1.0,394.9333,108.4667,,,1,
bid,C,630,60,,,9S_2 AC_1 AC_2 AH_1 JC_2 JH_2 KC_1 KH_2 KS_2 QC_1 QH_1 QH_2,60,3,5,5,0,0,0,360,570,0,1,0.74,137.2667,32.2667,,,1,
fold,S,60,630,220,90,10D_2 10S_1 10S_2 AD_1 AD_2 AS_1 JD_1 JS_1 JS_2 KS_1 QS_1 QS_2,190,3,8,4,1,1,0,350,-570,0,0,1.0,,,361.3333,-440.0,,0
bid,C,500,750,,,10H_1 9C_1 9C_2 9H_1 AC_2 AD_1 JC_1 JS_1 KC_1 KC_2 KD_1 QC_1,60,2,7,2,0,0,0,300,-250,0,0,0.9067,242.6,-131.1333,,,1,
bid,H,750,500,,,10D_2 AC_1 AH_1 JC_2 JD_1 JH_1 JH_2 KH_1 KS_2 QC_2 QD_2 QH_1,40,2,5,3,0,0,0,310,250,0,0,0.7533,90.9333,-25.4667,,,1,
bid,S,500,750,,,10C_1 9D_2 9H_2 9S_2 AD_2 AS_1 AS_2 JS_2 KD_2 KH_2 QD_1 QH_2,50,3,4,4,0,0,0,320,-250,1,0,0.2067,-330.0667,-33.7333,,,0,
bid,S,750,500,,,10C_2 10D_1 10H_2 10S_1 10S_2 9D_1 9S_1 AH_2 JD_2 KS_1 QS_1 QS_2,90,1,6,3,0,1,0,320,250,1,0,0.6933,103.8667,-25.4,,,1,
bid,C,500,750,,,10H_1 9C_1 9C_2 9H_1 AC_2 AD_1 JC_1 JS_1 KC_1 KC_2 KD_1 QC_1,60,2,7,2,0,0,0,320,-250,0,1,0.8467,191.4,-79.0667,,,1,
bid,H,750,500,,,10D_2 AC_1 AH_1 JC_2 JD_1 JH_1 JH_2 KH_1 KS_2 QC_2 QD_2 QH_1,40,2,5,3,0,0,0,330,250,0,1,0.7333,75.4667,47.2,,,1,
fold,C,500,750,210,80,10C_1 9C_1 9C_2 9H_1 AC_2 AD_2 AS_2 JC_1 JS_1 KC_1 KC_2 QC_1,170,3,8,2,1,0,0,320,-250,0,0,1.0,,,306.4,-400.0,,0
bid,S,880,910,,,10D_1 10D_2 10H_2 10S_1 9D_1 AD_1 JS_1 KC_2 KS_2 QC_1 QH_2 QS_1,60,1,4,4,0,0,0,300,-30,0,0,0.5933,-46.0,-13.6,,,0,
bid,S,910,880,,,10C_2 10S_2 9C_1 9H_1 9S_1 JH_1 KC_1 KH_2 KS_1 QC_2 QD_1 QS_2,70,0,4,4,0,0,0,310,30,0,0,0.3333,-252.2667,-68.0,,,0,
bid,D,880,910,,,10C_1 10H_1 9C_2 9S_2 AD_2 AH_1 AS_2 JD_2 JH_2 KD_2 KH_1 QD_2,40,3,4,4,0,0,0,310,-30,1,0,0.72,52.8667,-23.6,,,1,
bid,C,910,880,,,9D_2 9H_2 AC_1 AC_2 AH_2 AS_1 JC_1 JC_2 JD_1 JS_2 KD_1 QH_1,0,4,4,3,0,0,0,310,30,0,1,0.5667,-64.9333,3.8667,,,0,
fold,S,880,910,240,70,10S_1 9D_1 AD_1 AD_2 AS_2 JD_2 JS_1 KC_2 KS_2 QC_1 QH_2 QS_1,210,3,5,4,1,1,0,300,-30,0,0,1.0,,,262.5333,-370.0,,0
bid,S,0,0,,,10D_1 10H_2 10S_1 10S_2 9C_1 9D_1 9H_2 9S_2 AD_2 AH_2 KD_2 QH_2,10,2,3,4,0,0,0,300,0,0,0,0.16,-386.0,-132.4,,,0,
bid,H,0,0,,,AC_1 AD_1 JC_2 JH_2 JS_1 JS_2 KH_1 KH_2 KS_1 QC_1 QD_1 QH_1,40,2,4,3,0,0,0,300,0,0,0,0.4333,-162.8667,-31.5333,,,0,
bid,C,0,0,,,10C_2 9C_2 9D_2 9H_1 AH_1 AS_1 AS_2 JD_1 KC_2 QC_2 QS_1 QS_2,90,3,4,4,0,1,0,300,0,0,1,0.8067,202.8,14.2,,,1,
fold,C,0,0,190,100,10C_1 9S_1 AC_1 AC_2 AD_1 JC_1 JD_2 JH_1 KC_1 KD_1 QC_1 QD_2,170,3,6,4,1,0,0,250,0,0,0,1.0,,,208.9333,-350.0,,0
bid,D,310,230,,,10C_1 10D_1 10S_1 9D_1 9S_1 AD_1 AD_2 AH_1 KH_1 KH_2 QC_2 QS_2,10,3,4,3,0,0,0,300,80,0,0,0.3333,-195.0667,111.2667,,,0,
bid,S,230,310,,,10D_2 10H_2 10S_2 9C_2 9D_2 AC_2 AS_2 JS_1 JS_2 KC_1 KD_1 QS_1,0,2,5,3,0,0,0,300,-80,0,0,0.6467,11.2667,-111.4,,,1,
bid,D,310,230,,,10C_2 9S_2 AH_2 JD_1 JD_2 JH_1 JH_2 KC_2 KD_2 KS_1 QC_1 QD_1,60,1,4,3,0,0,0,300,80,0,1,0.42,-180.4667,25.4,,,0,
fold,C,230,310,20,60,9C_1 9H_1 9H_2 AC_1 AC_2 JC_1 JC_2 KC_1 QD_2 QH_1 QH_2 QS_1,10,2,6,4,0,0,0,250,-80,0,0,0.1,,,-339.4,-310.0,,1
bid,H,-20,480,,,10C_1 10H_1 9D_1 AH_1 JD_1 JH_1 JH_2 JS_1 KH_1 KS_2 QC_1 QS_1,60,1,5,3,0,1,0,300,-500,0,0,0.5733,-32.8,-47.8,,,1,
bid,S,480,-20,,,9D_2 9S_2 AC_2 JC_1 JC_2 JS_2 KC_1 KD_1 KD_2 KS_1 QH_2 QS_2,50,1,4,4,0,0,0,310,500,0,0,0.3,-262.9333,80.8667,,,0,
bid,S,-20,480,,,10C_2 10D_1 10S_1 9C_1 9H_1 9H_2 AC_1 AD_2 AS_1 JD_2 QC_2 QH_1,0,3,2,4,0,0,0,310,-500,1,0,0.12,-380.2,-14.4,,,0,
bid,S,480,-20,,,10D_2 10H_2 10S_2 9C_2 9S_1 AD_1 AH_2 AS_2 KC_2 KH_2 QD_1 QD_2,10,3,3,4,0,0,0,310,500,0,1,0.2,-320.1333,-67.8,,,0,
fold,H,-20,480,230,20,10H_1 10S_1 9D_1 AH_1 JD_1 JD_2 JH_1 JH_2 KH_1 KS_2 QH_1 QS_1,210,1,6,3,1,1,0,300,-500,0,0,1.0,,,290.0,-320.0,,0
bid,H,620,340,,,10C_2 10S_1 9D_2 9S_1 9S_2 AC_1 AC_2 AD_1 AH_1 AH_2 QC_1 QC_2,0,5,2,5,0,0,0,300,280,0,0,0.2933,-258.0,-7.7333,,,0,
bid,S,340,620,,,10D_1 10S_2 9D_1 9H_2 AS_2 JC_2 JS_2 KC_1 KS_2 QD_2 QH_1 QS_1,150,1,5,3,1,0,0,300,-280,0,0,0.9867,227.8667,-34.8,,,1,
bid,H,620,340,,,10C_1 10D_2 9C_1 9H_1 AD_2 AS_1 JC_1 KC_2 KD_1 KH_2 QH_2 QS_2,50,2,3,4,0,0,0,310,280,0,1,0.4467,-157.2667,32.2,,,0,
bid,D,340,620,,,10H_1 10H_2 9C_2 JD_1 JD_2 JH_1 JH_2 JS_1 KD_2 KH_1 KS_1 QD_1,40,0,4,5,0,0,0,310,-280,1,0,0.3933,-197.5333,-30.0,,,0,
fold,S,340,620,210,40,10S_2 9H_2 AS_2 JC_2 JD_1 JD_2 JS_2 KS_1 KS_2 QD_2 QH_1 QS_1,190,1,6,3,1,1,0,300,-280,0,0,0.9933,,,238.6667,-340.0,,0
bid,S,640,820,,,9D_2 9S_1 AC_1 AH_1 JC_1 JC_2 JD_2 JS_2 KH_1 KH_2 KS_2 QS_2,90,2,4,3,0,1,0,300,-180,0,0,0.5533,-66.6,73.6667,,,0,
bid,D,820,640,,,10C_1 10H_1 10S_1 9C_1 9C_2 9H_1 AD_2 AH_2 AS_2 KC_2 QH_1 QS_1,0,3,1,4,0,0,0,300,180,0,0,0.1267,-398.3333,-82.0,,,0,
bid,D,640,820,,,10H_2 10S_2 9S_2 AC_2 AD_1 AS_1 JH_1 JH_2 KD_1 KS_1 QD_1 QD_2,40,3,4,4,0,0,0,300,-180,0,1,0.7467,74.7333,-41.4,,,1,
bid,C,820,640,,,10C_2 10D_1 10D_2 9D_1 9H_2 JD_1 JS_1 KC_1 KD_2 QC_1 QC_2 QH_2,40,0,4,5,0,0,0,310,180,0,1,0.36,-226.8,-62.4,,,0,
fold,D,640,820,110,30,9S_2 AD_1 AS_1 JD_2 JH_1 JH_2 KD_1 KH_2 KS_1 QD_1 QD_2 QS_2,100,2,5,4,0,1,0,300,-180,0,0,0.3,,,-227.4667,-330.0,,0
bid,C,960,340,,,10C_2 10D_1 9C_1 9D_1 AC_2 JC_2 JD_2 JH_2 KC_1 KS_2 QH_1 QS_2,70,1,5,3,0,1,0,300,620,0,0,0.6733,43.8,-66.6,,,1,
bid,H,340,960,,,10H_2 10S_2 AD_1 AS_2 JC_1 JD_1 JH_1 KC_2 KD_1 KH_2 QC_1 QH_2,60,2,4,3,0,0,0,300,-620,0,0,0.64,13.6667,-15.2667,,,1,
